courier,week,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17
18920,2,7,113,39,0.1282,0.8718,100.5128,0.0256,6812.1538,0.5128,5.78589744,6,16.12512821,6.4274359,0.5897,15.16863324,1,21
18920,3,18,120,72,0.0972,0.9028,102.0833,0.0833,7725.2778,0.5278,8.2861125,23,17.55027778,6.8675,0.6528,29.89305556,1,58
18920,4,-138,138,39,0.0256,0.9744,100,0.1282,7065.9487,0.5641,7.00427436,10,18.79974359,6.51333333,0.641,13.04468599,1,17
19450,3,52,89,28,0.3214,0.6786,138.3571,0.1786,8228.5714,0.6786,12.57618571,13,18.88464286,10.91714286,0.6786,38.85049938,1,3
19450,8,31,77,13,0.4615,0.5385,186.1538,0,5284.0769,0.6154,15.43076154,9,12.36769231,12.54692308,0.4615,23.59451659,1,6
19450,9,1,108,28,0.0357,0.9643,117.7857,0.1071,4891.6429,0.9286,10.63333571,16,22.11142857,6.71071429,0.8929,20.10365226,1,7
19450,10,-9,109,28,0.0714,0.9286,156.9286,0.1071,4675.8214,0.7857,16.01666786,27,32.965,9.01642857,0.75,27.78363914,1,9
39517,1,-6,55,86,0.0465,0.9535,101.1512,0.1279,4065.6279,0.8488,9.67015349,32,19.24732558,4.9355814,0.8488,85.11616162,3,11
39517,2,11,49,80,0.0875,0.9125,106.0125,0.15,4621.6375,0.7875,8.0775,21,21.576875,5.330375,0.85,87.39399093,2,7
39517,5,24,49,66,0.0758,0.9242,100.9091,0.0606,3997.3939,0.8788,8.22803182,20,19.36469697,4.76606061,0.8939,60.40873016,5,9
39517,6,6,73,98,0,1,108.0204,0.0918,3364.8265,0.9388,9.64897857,46,17.6077551,4.77897959,0.9286,55.92922374,2,18
39517,7,3,79,101,0.0792,0.9208,115.4653,0.0891,3503.3465,0.8119,8.79620396,46,21.34564356,5.11554455,0.8713,57.28691983,3,14
39517,8,-1,82,95,0.0421,0.9579,107.5474,0.0737,3097.8842,0.9053,10.62701368,44,19.33526316,4.61947368,0.9053,54.07723577,1,13
39517,9,9,81,109,0.0367,0.9633,100.844,0.0642,4327.7064,0.8991,8.48058165,38,18.73376147,4.79550459,0.8899,63.41495199,4,15
39517,10,-70,90,115,0.0174,0.9826,113.313,0.0783,2906.5304,0.9565,9.36695739,58,20.61243478,4.49008696,0.9652,52.98024691,8,16
39517,11,34,20,9,0,1,100,0,2796.8889,1,10.16113333,6,17.35555556,3.37111111,0.8889,15.61805556,1,5
39519,1,-6,49,41,0.122,0.878,100,0.0976,2719.878,0.8049,11.06381463,17,16.09878049,4.28780488,0.8293,48.33333333,2,9
39519,2,48,43,32,0.0625,0.9375,100,0.0313,2496.375,0.7188,11.77759688,16,28.7121875,4.2153125,0.7188,44.52713178,1,6
39519,3,-5,91,61,0.1311,0.8689,100,0.0656,2780.459,0.7377,10.4672082,19,15.7152459,4.24754098,0.7541,35.95543346,2,9
39519,5,-2,82,38,0.1579,0.8421,100,0.0263,4221.3947,0.7368,8.98507895,18,16.90605263,4.91026316,0.7368,30.24593496,1,5
39519,6,10,80,38,0.2368,0.7632,100,0.0263,4161.6842,0.6053,9.50834474,16,23.09315789,4.90605263,0.6053,32.83784722,1,12
39519,8,-35,88,72,0.1667,0.8333,100.8333,0.1667,3686.5833,0.7083,10.67662083,39,15.05583333,4.66263889,0.7639,50.44223485,1,15
39519,9,-43,53,68,0.0588,0.9412,101.4706,0.0294,3611.8235,0.8824,10.86788235,28,19.47882353,4.71220588,0.9118,76.08805031,4,29
39519,11,1,33,51,0,1,100.5882,0.0392,4123.9412,0.9412,9.00783725,16,18.29627451,4.77098039,0.9608,93.26767677,4,7
41143,0,29,60,48,0.125,0.875,137.0625,0.0625,10216.6667,0.625,7.89478958,10,18.02479167,10.4325,0.6667,51.67083333,1,14
41143,2,37,94,48,0.0625,0.9375,119.1042,0.125,6402.625,0.7917,8.59756667,18,24.20645833,7.07166667,0.8333,27.10283688,3,11
41143,3,-48,131,50,0.02,0.98,105.6,0.12,6660.54,0.54,8.61233,17,17.727,6.6468,0.64,22.03837998,1,18
41143,4,44,83,28,0.0357,0.9643,113.9643,0.2143,4390.3571,0.9286,6.42381786,8,19.62857143,5.76928571,0.9286,15.74732262,2,10
41143,6,21,101,35,0.0571,0.9429,100,0,5271.8286,0.5714,8.50952,29,20.24742857,5.6,0.6857,18.5910341,3,31
41143,7,-15,122,58,0.1207,0.8793,103.4483,0.0172,3878.8621,0.7069,8.77988966,31,22.14689655,5.00155172,0.7759,23.09266849,1,12
41143,9,13,100,48,0.0417,0.9583,154.0625,0,3586.3542,0.875,9.140625,35,18.87979167,7.23541667,0.875,23.90694444,2,13
41143,10,-54,113,51,0.0784,0.9216,100.3922,0,4575.4706,0.8039,7.6571902,21,18.42921569,5.18039216,0.8039,23.46238938,4,8
41236,4,6,84,32,0.0313,0.9688,100,0.0313,5898.6563,0.7188,12.78541563,19,24.440625,6.141875,0.8438,23.38425926,2,3
41236,5,-8,90,88,0.1477,0.8523,105.8409,0.0682,6112.3068,0.75,10.38125114,43,20.07420455,6.395,0.75,50.22067901,1,16
41236,7,12,73,70,0.0286,0.9714,109.4857,0.0143,4111.1714,0.8857,10.68808857,51,20.35228571,5.43128571,0.9143,47.17884323,1,7
41486,0,-11,126,50,0.2,0.8,157.54,0.24,5847.8,0.54,9.109004,17,19.346,9.2,0.7,18.99140212,3,21
41486,1,-6,115,52,0.1154,0.8846,115.1154,0.1923,6400.0962,0.4808,7.88589615,21,16.07673077,7.31826923,0.6154,22.43115942,5,4
41486,2,14,109,49,0.1224,0.8776,103.4694,0.2857,8419.0408,0.5102,8.44965918,12,20.9277551,7.87285714,0.6531,22.14092762,4,19
41486,3,-27,123,69,0.2029,0.7971,116.4493,0.2609,6025.6667,0.3768,7.88695217,19,22.37333333,6.9657971,0.4493,23.8204607,8,35
41486,4,37,96,56,0,1,124.125,0.0357,2720.6429,0.9286,7.15922679,9,14.74214286,4.99517857,0.9464,20.63541667,4,8
41486,5,-21,133,45,0.0444,0.9556,135.5778,0.0222,2382.4667,0.9556,8.43036667,12,15.49311111,5.40044444,0.9556,12.29072682,3,9
41486,7,-2,132,72,0.1389,0.8611,113.8611,0,5294.9167,0.5833,8.73843056,29,20.27333333,6.62847222,0.6944,31.60122054,5,12
41486,8,-6,130,84,0.119,0.881,122.869,0.0952,4145.5476,0.7143,8.39523929,23,18.43214286,6.26369048,0.7738,31.72264957,4,22
41486,9,-24,124,52,0.0962,0.9038,125.9808,0,3385.7115,0.8846,8.00929423,19,15.77365385,5.65096154,0.8846,16.37387993,1,10
41486,11,1,118,49,0.0612,0.9388,113.4694,0,4052.2245,0.7959,9.40816531,19,20.02367347,6.34020408,0.8367,18.08333333,2,9
41488,0,-2,81,41,0.1951,0.8049,100,0.0732,2557.9024,0.5366,8.22031707,12,17.82243902,4.03829268,0.5854,29.79663923,2,45
41488,1,-17,79,18,0.1111,0.8889,100,0,2896.7778,0.5556,7.32407222,4,12.79555556,4.23722222,0.8333,16.63466948,1,12
41488,4,29,16,13,0,1,100,0,2351.8462,1,9.6564,3,18.15307692,3.78076923,1,52.17013889,1,6
41488,5,-19,45,16,0,1,100,0,2517.125,0.875,11.93125625,5,16.103125,3.785625,0.875,15.75679012,1,16
41488,6,26,26,16,0.1875,0.8125,100,0,2187.4375,0.625,7.22916875,5,24.88875,3.85875,0.625,39.16346154,1,4
41488,7,13,52,12,0,1,100,0,2570.9167,1,7.82639167,6,20.075,4.0775,0.9167,15.6517094,1,2
41488,9,-23,48,31,0.0323,0.9677,102.0645,0,2261.871,0.9032,9.24516452,11,19.04870968,4.04870968,0.871,32.57002315,1,6
43746,0,3,113,65,0.1846,0.8154,114.5077,0.0462,5999.1077,0.5692,9.87077231,24,17.98415385,6.82953846,0.6,35.26745329,1,8
43746,1,-2,116,71,0.1972,0.8028,100,0.0845,6184.507,0.507,8.49858592,20,18.51816901,5.99169014,0.6197,35.34770115,1,13
43746,2,-8,114,58,0.0862,0.9138,100.3448,0.1207,5585.9483,0.6379,9.51924483,20,20.20051724,5.79293103,0.7241,31.6837232,4,10
43746,3,-27,106,59,0.2203,0.7797,120.7797,0.0169,6311.5763,0.5932,9.35479831,22,18.41423729,8.04847458,0.5932,34.00733753,2,13
43746,5,18,104,51,0.0588,0.9412,124.5098,0.1176,4813.2549,0.7647,10.39314118,26,20.33686275,6.79431373,0.8235,28.11324786,1,12
43746,6,-12,122,88,0.1023,0.8977,100,0.0114,3623.5341,0.7614,9.23219773,54,19.99693182,4.61272727,0.7727,31.95810565,4,15
43746,9,-25,91,51,0.0392,0.9608,100.8431,0.0392,3371.8235,0.8627,7.8310451,32,18.39039216,4.45941176,0.8824,23.52350427,1,4
43746,10,-29,66,49,0,1,100,0,4275.9388,0.8776,8.95782041,20,21.18795918,5.02081633,0.8776,35.11784512,1,7
50907,0,-89,98,55,0.2545,0.7455,100,0.0182,5273.7818,0.5273,9.24394,14,17.42709091,5.68490909,0.6,33.00283447,1,13
50907,3,-2,77,23,0.0435,0.9565,100,0.0435,4717.1739,0.8261,11.66232174,12,22.71347826,5.44478261,0.7826,18.07864358,1,3
50907,4,13,75,24,0,1,100,0.0833,4247.5,0.9583,13.03958333,15,18.19875,5.2525,0.9167,19.19111111,1,5
50907,8,8,82,41,0.0244,0.9756,100,0,3803,0.9024,12.49674878,53,24.82439024,5.00439024,0.9268,29.35738482,1,5
50907,9,2,90,46,0.0217,0.9783,100,0.0217,3919.3696,0.8696,11.9884087,55,24.00630435,4.93891304,0.8913,27.27654321,1,4
50907,10,1,92,56,0,1,100,0,4408.1607,0.8036,9.89018214,51,20.56107143,5.03178571,0.8571,32.24849034,1,8
50907,11,-43,93,55,0.0182,0.9818,101.8182,0.0364,4623.8909,0.7636,10.57787818,47,21.32781818,5.37690909,0.8727,31.45669056,2,3
54968,5,15,44,18,0,1,134.5,0,2258.9444,0.7778,12.16296667,16,22.125,5.65555556,0.8333,21.29356061,1,6
57982,10,38,53,33,0.0303,0.9697,100,0,3854.4545,0.9091,10.29242121,18,20.26787879,4.95272727,0.8788,30.05398323,1,6
57982,11,-18,91,71,0.0141,0.9859,101.4085,0.0423,5250.7887,0.9014,8.91900986,37,21.97873239,5.64323944,0.9437,41.21367521,2,9
68469,7,7,101,29,0,1,105.5172,0.1379,3670.5172,0.7931,8.19942069,24,18.56551724,4.89724138,0.931,13.07205721,1,3
68469,11,-90,90,75,0.0533,0.9467,100.5333,0.0533,4423,0.8667,8.02177867,27,20.27146667,4.95493333,0.8667,40.69444444,2,8
69348,0,-9,70,32,0.5,0.5,105.3125,0.0938,5958.75,0.125,7.65052188,5,16.2159375,6.1296875,0.1875,28.77738095,1,15
69348,1,-2,61,37,0.3784,0.6216,100,0.0541,5130.4595,0.1622,8.11081081,12,13.98837838,5.50810811,0.3784,37.25,2,13
69348,2,3,59,42,0.2857,0.7143,105.4762,0.0714,4960.8095,0.2857,8.23849048,10,21.15309524,5.59214286,0.4048,33.96468927,1,13
69348,3,-12,62,39,0.3333,0.6667,108.2051,0,5925.7949,0.2564,9.06495641,13,17.46025641,6.66615385,0.3333,34.21326165,1,8
69348,6,3,79,56,0.1071,0.8929,100.3571,0,4229.25,0.625,11.25387679,42,23.46767857,5.03428571,0.7143,35.24120956,1,6
69348,8,20,69,55,0.0364,0.9636,100,0.0727,4742.1818,0.6364,9.18939455,34,22.59054545,5.32163636,0.7455,43.22745572,1,7
69348,9,-9,89,81,0,1,100.4938,0.0123,3663.8642,0.8148,10.58086543,47,20.88123457,4.7891358,0.8272,44.61828964,3,6
69348,10,3,80,67,0.0597,0.9403,100,0.0149,5318.9104,0.7313,8.51815522,32,19.1538806,5.50970149,0.8358,42.73819444,1,3
69348,11,-29,83,65,0.0308,0.9692,100,0.0462,4356.2,0.8,8.50666615,22,20.71615385,5.08569231,0.8,39.47824632,5,8
75053,0,13,128,92,0.1304,0.8696,107.3478,0.0652,5308.4891,0.6848,11.11666848,52,17.78913043,5.9373913,0.7826,48.80099826,1,13
75053,1,0,141,84,0.0833,0.9167,116.0833,0.0476,4445.4286,0.7262,11.27202262,50,17.00154762,5.74595238,0.8333,35.79669031,3,16
75053,2,3,141,89,0.1348,0.8652,107.8202,0.0562,4763.4831,0.7079,12.4588,47,20.06730337,5.78775281,0.7191,42.44267139,2,13
75053,3,2,144,100,0.14,0.86,108.26,0.08,4376.95,0.76,11.644001,57,16.6583,5.5895,0.75,41.38580247,3,6
75053,4,9,146,85,0.0941,0.9059,107.9529,0.0235,4281.5059,0.7765,13.08568824,55,19.65858824,5.47223529,0.8706,36.96099696,3,5
75053,7,-43,112,97,0.1443,0.8557,100,0,3456.1031,0.701,12.05773093,61,16.27659794,4.71742268,0.7423,50.27703373,2,5
82968,0,-11,100,81,0.0494,0.9506,104.3704,0.0494,5450.963,0.8025,8.5631716,27,21.48481481,6.00864198,0.8272,42.91583333,1,14
82968,1,8,89,79,0.0759,0.9241,100,0,5117.6203,0.7848,8.50105696,24,16.87455696,5.47037975,0.8228,45.58583021,2,14
82968,3,-1,107,66,0.0455,0.9545,102.5,0.0303,5355.1212,0.803,9.47096212,26,19.67969697,5.82666667,0.8182,33.03219107,1,15
82968,4,8,106,80,0.0875,0.9125,100,0.0875,5026.225,0.775,7.88999875,25,17.7355,5.40075,0.85,35.29402516,5,8
82968,5,-4,114,93,0.0538,0.9462,101.9355,0.0215,4512.3011,0.7419,9.32544624,38,19.48849462,5.20956989,0.8387,36.76973684,1,20
82968,6,-4,110,76,0.0263,0.9737,100,0,4233.7895,0.8553,9.37675263,42,23.50157895,5.02802632,0.8947,30.54292929,2,3
86596,0,-30,121,83,0.0964,0.9036,113.5422,0.0482,2501.1928,0.6506,9.59176867,31,19.08120482,4.69409639,0.7108,42.06290174,2,36
86596,1,2,91,63,0.0317,0.9683,119.6984,0.0317,2655.0317,0.873,10.26640635,24,17.53825397,5.06111111,0.9048,48.15903541,1,19
86596,2,11,93,75,0.04,0.96,109.4933,0.1467,2559.9467,0.8933,9.681108,21,17.56866667,4.48386667,0.9067,44.72819594,2,12
86596,3,-2,104,75,0.0667,0.9333,108.68,0.1067,2365.3333,0.7867,8.04933467,21,15.95333333,4.35546667,0.84,35.76655983,1,13
86596,4,14,102,84,0.0714,0.9286,130.1905,0.0476,2037.131,0.869,8.8990131,27,20.71928571,5.15940476,0.8571,37.85811547,1,16
86596,6,-2,112,90,0.0556,0.9444,108.8444,0.0111,1749.6333,0.8556,9.30000556,43,17.60288889,4.15744444,0.8667,36.60739087,1,6
86596,8,-81,126,71,0.0563,0.9437,109.5211,0.0141,1715.2676,0.9014,11.07746479,71,18.0884507,4.20366197,0.9014,27.41203704,2,8
86596,9,-45,45,30,0,1,100,0.0333,1543.2333,0.9667,11.36554667,28,19.79333333,3.69833333,0.9667,28.50925926,2,3
87117,0,28,88,31,0.0323,0.9677,112.0968,0.1935,6312.7097,0.9677,7.58710323,7,22.05645161,6.84032258,0.9677,18.32102273,1,6
87117,3,-53,118,48,0.0625,0.9375,104.5833,0.0417,6072.0833,0.75,8.40868542,16,20.49666667,6.25395833,0.8542,19.70998117,3,32
87117,4,-65,65,15,0.2,0.8,100,0.1333,6642.8667,0.7333,8.10333333,4,15.13333333,6.326,0.8,12.29017094,2,5
87117,6,10,106,8,0,1,100,0.125,4948,1,14.89585,16,16.46875,4.5175,1,2.957809224,1,3
87117,10,12,88,20,0,1,100,0,4316.35,0.9,8.36665,9,23.193,5.0565,0.85,8.921401515,1,3
87117,11,-8,100,53,0.0189,0.9811,100,0.0189,5735.3019,0.7736,7.3729566,21,21.52509434,5.81132075,0.8679,23.13194444,1,3
87766,1,-39,103,89,0.0787,0.9213,107.8202,0.0562,5342.7978,0.6854,8.03445618,25,20.79606742,5.82224719,0.7753,44.1469795,3,23
87766,2,35,64,53,0.0566,0.9434,100,0.0377,3650.8868,0.6604,7.11571887,10,17.10169811,4.57490566,0.7547,32.08159722,2,16
87766,3,-24,99,97,0.0722,0.9278,115.7835,0.0206,3875.1856,0.7629,7.41941856,22,17.08309278,5.50525773,0.866,43.33641975,3,12
87766,4,-15,75,103,0,1,113.3107,0.0777,2934.4175,0.8738,8.30744078,38,17.07203884,4.84893204,0.9223,56.26814815,4,12
87766,5,15,60,48,0.0625,0.9375,101.875,0,3216.4583,0.7917,7.45242708,13,19.490625,4.53854167,0.8542,33.19861111,1,9
87766,8,-32,96,92,0.0652,0.9348,114.9022,0.0326,3035.8913,0.8261,8.18623152,44,17.22728261,4.9075,0.8696,37.47309028,4,11
87766,9,43,64,106,0.0472,0.9528,100,0,3685.5094,0.8019,7.98663491,29,19.6354717,4.70198113,0.8491,74.84505208,4,9
87766,10,18,107,79,0.038,0.962,100,0.0127,3545.0127,0.8101,7.56877848,30,18.20341772,4.59455696,0.8734,27.89330218,1,3
87766,11,-50,125,140,0.0786,0.9214,100,0,3698.75,0.7857,7.10107286,50,17.06835714,4.63614286,0.8643,45.68755556,1,9
94233,5,-5,17,10,0,1,100,0,3592.8,0.9,4.68332,2,21.335,4.672,0.9,24.36437909,1,12
94233,6,-12,12,6,0,1,100,0,4907.8333,1,11.46943333,3,25.555,5.52666667,1,36.16898148,1,10
101552,0,17,85,96,0.0625,0.9375,115.4167,0.1146,2526.3125,0.8646,9.93888958,38,19.44833333,4.83104167,0.8542,47.18300654,5,12
101552,1,-12,102,98,0.0306,0.9694,122.8469,0.1735,2602.7653,0.8265,10.78299184,41,19.30244898,5.26785714,0.8673,44.4545207,4,23
101552,2,5,90,95,0.0737,0.9263,110.0632,0.2,2614.3158,0.8632,10.32052842,37,23.15,4.76284211,0.8842,48.73950617,4,21
101552,3,-9,95,88,0.0341,0.9659,113.5682,0.1818,2583.0455,0.9205,9.58068409,33,22.33590909,4.81829545,0.8977,39.24356725,1,19
101552,4,14,86,75,0,1,121.9467,0.2667,2316,0.9333,9.94244267,30,21.33546667,4.93146667,1,37.92054264,2,6
101552,5,-13,100,107,0.0654,0.9346,118.7477,0.0374,2363.8318,0.8318,8.22835047,38,21.18616822,4.57224299,0.8318,43.22083333,5,17
101552,6,13,87,73,0.0411,0.9589,122.3973,0.0137,2294.2329,0.8767,8.80936027,51,23.32041096,4.75246575,0.8356,31.95530013,2,10
101552,7,-6,100,80,0.0375,0.9625,110.1375,0.05,2481.0875,0.85,8.936045,52,19.992125,4.389875,0.8625,32.11472222,1,17
101552,8,20,94,90,0.0778,0.9222,112.2556,0.0444,2325.9778,0.7667,8.37537222,57,21.46933333,4.59177778,0.7889,37.97754137,3,11
101552,9,4,114,112,0.1607,0.8393,108.7589,0.0179,2400.4643,0.7143,9.00744375,62,18.82357143,4.60205357,0.7232,40.87670565,2,10
101552,10,-37,118,111,0.0631,0.9369,116.8018,0.0811,2178.7477,0.7297,9.25960721,53,18.64630631,4.52234234,0.8108,38.54519774,3,18
101552,11,-18,81,41,0,1,113.7073,0.0244,2238.4634,0.9024,9.91503902,43,21.71,4.56512195,0.9024,22.15294925,2,5
103832,0,0,103,46,0.1087,0.8913,100,0.0435,5559.5217,0.6957,11.16811087,21,20.15934783,5.60217391,0.7391,25.65695793,1,10
103832,1,0,103,47,0.0851,0.9149,100,0,5033.9362,0.766,11.62730851,24,22.08574468,5.52957447,0.7447,26.60355987,1,7
103832,2,10,103,36,0.0833,0.9167,100,0.0278,4168.6944,0.75,13.03795556,19,22.6775,5.13805556,0.7778,22.11650485,1,13
103832,3,3,113,51,0.1176,0.8824,101.1765,0,5453.9608,0.7059,12.83921373,28,19.69666667,5.78960784,0.7255,29.44641101,3,12
103832,4,-8,116,60,0.1833,0.8167,100,0.0167,4426.9333,0.65,9.50916833,23,14.83783333,4.80816667,0.7333,25.88529693,3,14
103832,5,-20,108,47,0.0638,0.9362,101.9149,0.0213,3910.1702,0.8298,10.33227234,32,18.73276596,4.86191489,0.8936,24.20807613,3,19
103832,7,7,69,40,0,1,100,0,3010.125,0.975,11.174585,36,20.1855,4.48025,0.925,27.63566828,1,6
103832,8,-17,76,47,0.0851,0.9149,100,0,3324.9574,0.8936,9.88617447,43,18.99148936,4.51319149,0.8936,26.46454678,1,4
103832,10,-13,53,36,0,1,100,0,3280.5278,0.9444,9.66065556,18,18.94972222,4.54638889,0.9444,31.6629979,2,8
103832,11,25,40,28,0,1,100,0,2772.9643,0.9643,10.35536429,19,18.53392857,4.29642857,0.9643,29.62083333,1,5
107223,0,1,32,37,0.1622,0.8378,100,0.0541,8197.4054,0.5946,9.41486216,16,23.16162162,7.32756757,0.6216,83.06423611,1,20
107223,1,14,33,49,0.0612,0.9388,100,0.0612,5562.6531,0.8367,9.61531224,16,21.14387755,5.85816327,0.8571,84.1506734,2,10
107223,2,-8,47,68,0.0441,0.9559,105.9559,0.0147,5781.9559,0.8235,8.28652059,24,18.48426471,6.19823529,0.8382,85.79137116,1,19
107223,3,15,39,60,0.05,0.95,107.65,0.0833,6461.5833,0.8167,8.50583167,22,21.854,6.683,0.8333,91.83404558,1,6
107223,4,-6,54,78,0.0897,0.9103,100,0.0641,5959.4359,0.7821,8.89872051,24,19.94923077,6.05102564,0.8077,84.45987654,3,4
107223,5,-5,48,71,0.0563,0.9437,103.3803,0.0282,5268.5352,0.8451,9.3669,19,19.89521127,5.71605634,0.831,82.66840278,1,19
107223,7,-10,44,68,0.0294,0.9706,100,0.0147,3842.6765,0.8971,8.35955735,19,23.78411765,4.81985294,0.8676,72.1540404,2,4
107223,8,6,34,59,0,1,100.5085,0,4889.9153,0.8305,8.15734915,10,21.72983051,5.33457627,0.8814,87.83905229,2,8
107223,10,2,27,35,0.0857,0.9143,100,0,4364.1714,0.8286,6.94523429,6,18.08457143,5.006,0.8857,59.0617284,2,2
107223,11,-8,29,42,0.0476,0.9524,100.4762,0,4514.6429,0.9048,9.30317857,19,20.93428571,5.27357143,0.8571,69.34770115,1,3
107231,0,-2,79,41,0.1463,0.8537,100.439,0.1463,4990.2439,0.8049,8.76503659,14,18.62878049,5.29243902,0.6829,33.17721519,1,16
107231,2,17,81,38,0.2368,0.7632,100,0.0789,5449.1842,0.5789,8.19253947,12,18.08026316,5.39868421,0.6053,29.11865569,1,5
107231,3,-9,98,71,0.1408,0.8592,101.6901,0.1268,5111.6338,0.5775,9.4699507,25,25.19225352,5.41971831,0.662,47.32596372,3,18
107231,6,-1,91,58,0.2241,0.7759,100,0.0345,4734.3103,0.6552,8.18850172,43,14.5837931,5.06551724,0.7414,35.9539072,1,7
107231,7,15,90,75,0.0533,0.9467,100,0.04,3808.8933,0.7733,9.22177333,51,18.8276,4.6072,0.7733,44.9537037,1,10
