,courier,feature_1_x,feature_2_x,week,feature_1_y,feature_2_y,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17
67,5476,a,,,,,,,,,,,,,,,,,,,
68,5478,a,,,,,,,,,,,,,,,,,,,
69,5479,a,,,,,,,,,,,,,,,,,,,
70,5535,d,,,,,,,,,,,,,,,,,,,
71,5536,b,,,,,,,,,,,,,,,,,,,
72,5538,a,,,,,,,,,,,,,,,,,,,
73,5567,a,,,,,,,,,,,,,,,,,,,
74,5595,a,,,,,,,,,,,,,,,,,,,
75,5613,a,,,,,,,,,,,,,,,,,,,
76,5668,c,,,,,,,,,,,,,,,,,,,
77,5680,b,,,,,,,,,,,,,,,,,,,
78,5681,a,,,,,,,,,,,,,,,,,,,
79,5703,a,,,,,,,,,,,,,,,,,,,
80,5948,a,,,,,,,,,,,,,,,,,,,
81,5949,a,,,,,,,,,,,,,,,,,,,
82,5950,a,,,,,,,,,,,,,,,,,,,
83,5951,a,,,,,,,,,,,,,,,,,,,
84,6083,b,,,,,,,,,,,,,,,,,,,
85,6101,a,51.0,,,,,,,,,,,,,,,,,,
86,6232,a,,,,,,,,,,,,,,,,,,,
87,6233,a,,,,,,,,,,,,,,,,,,,
88,6281,a,,,,,,,,,,,,,,,,,,,
89,6282,a,35.0,2.0,9.0,33.0,27.0,0.0741,0.9259,100.0,0.037000000000000005,4075.7407,0.8889,8.50123333,5.0,26.863703700000002,4.82851852,0.8889,46.47811448,1.0,4.0
90,6282,a,35.0,3.0,-20.0,42.0,56.0,0.0536,0.9464,113.4821,0.0357,4777.0714,0.9107,8.210125,16.0,23.65178571,5.55357143,0.9107,79.40740741,2.0,5.0
91,6282,a,35.0,4.0,9.0,22.0,32.0,0.125,0.875,105.0,0.0938,5744.1875,0.8125,8.28542188,12.0,18.1809375,5.834375,0.7813,87.25,1.0,2.0
92,6282,a,35.0,5.0,21.0,31.0,48.0,0.0417,0.9583,117.25,0.0833,4011.7708,0.9167,9.76805208,17.0,20.34666667,5.61541667,0.9167,85.08333333,2.0,9.0
93,6282,a,35.0,6.0,-12.0,52.0,72.0,0.0694,0.9306,107.6389,0.0417,4000.3333,0.8472,7.73611389,17.0,21.94111111,5.09305556,0.875,73.90491453,1.0,13.0
94,6282,a,35.0,7.0,1.0,40.0,56.0,0.0893,0.9107,124.375,0.0893,3192.0,0.9107,7.40535536,11.0,18.59107143,5.35321429,0.9107,65.61875,2.0,4.0
95,6282,a,35.0,9.0,5.0,34.0,40.0,0.025,0.975,100.0,0.0,4124.525,0.925,7.535005,10.0,21.52325,4.685,0.925,67.20179739,2.0,3.0
96,6282,a,35.0,10.0,1.0,39.0,47.0,0.0638,0.9362,103.8298,0.0638,4378.7021,0.9149,6.77233617,10.0,19.02340426,5.03319149,0.8936,61.63319088,1.0,6.0
97,6282,a,35.0,11.0,10.0,40.0,41.0,0.0,1.0,100.0,0.0488,4432.4146,0.9756,8.825612199999998,12.0,18.78902439,4.69487805,0.9512,60.95347222,3.0,9.0
98,6284,a,,,,,,,,,,,,,,,,,,,
99,6908,a,,,,,,,,,,,,,,,,,,,
100,6909,b,,,,,,,,,,,,,,,,,,,
101,6989,a,,,,,,,,,,,,,,,,,,,
102,7225,b,,,,,,,,,,,,,,,,,,,
103,7226,b,,,,,,,,,,,,,,,,,,,
104,7455,a,,,,,,,,,,,,,,,,,,,
105,8215,a,,,,,,,,,,,,,,,,,,,
106,8581,a,,,,,,,,,,,,,,,,,,,
107,9033,a,,,,,,,,,,,,,,,,,,,
108,9274,b,,,,,,,,,,,,,,,,,,,
109,9391,a,,,,,,,,,,,,,,,,,,,
110,9392,b,,,,,,,,,,,,,,,,,,,
111,9411,b,,,,,,,,,,,,,,,,,,,
112,10292,b,,,,,,,,,,,,,,,,,,,
113,10293,a,,,,,,,,,,,,,,,,,,,
114,10309,a,,,,,,,,,,,,,,,,,,,
115,10517,a,,,,,,,,,,,,,,,,,,,
116,10551,a,,,,,,,,,,,,,,,,,,,
117,10553,b,,,,,,,,,,,,,,,,,,,
118,10617,b,,,,,,,,,,,,,,,,,,,
119,10618,b,,,,,,,,,,,,,,,,,,,
120,10622,b,35.0,0.0,5.0,82.0,45.0,0.1111,0.8889,100.0,0.0889,2476.2889,0.5333,10.69370222,19.0,24.36888889,4.148,0.6222,29.11517615,3.0,18.0
121,10622,b,35.0,1.0,-12.0,87.0,63.0,0.127,0.873,100.3175,0.0635,2677.4921,0.7143,9.7060873,22.0,18.76714286,4.21174603,0.6984,42.17720307,2.0,13.0
122,10650,b,,,,,,,,,,,,,,,,,,,
123,10651,a,,,,,,,,,,,,,,,,,,,
124,10652,b,,,,,,,,,,,,,,,,,,,
125,10654,a,,,,,,,,,,,,,,,,,,,
126,10656,a,,,,,,,,,,,,,,,,,,,
127,10987,a,,,,,,,,,,,,,,,,,,,
128,10989,b,,,,,,,,,,,,,,,,,,,
129,10998,a,,,,,,,,,,,,,,,,,,,
130,10999,a,,,,,,,,,,,,,,,,,,,
131,11000,b,,,,,,,,,,,,,,,,,,,
132,11001,a,,,,,,,,,,,,,,,,,,,
133,11098,d,34.0,,,,,,,,,,,,,,,,,,
134,11342,a,,,,,,,,,,,,,,,,,,,
135,11472,b,,,,,,,,,,,,,,,,,,,
136,11473,a,,,,,,,,,,,,,,,,,,,
137,11505,b,,,,,,,,,,,,,,,,,,,
138,11600,a,1.0,,,,,,,,,,,,,,,,,,
139,11601,a,1.0,,,,,,,,,,,,,,,,,,
140,11602,a,1.0,,,,,,,,,,,,,,,,,,
141,11603,a,1.0,,,,,,,,,,,,,,,,,,
142,11604,a,1.0,,,,,,,,,,,,,,,,,,
143,12259,a,,,,,,,,,,,,,,,,,,,
144,12262,b,,,,,,,,,,,,,,,,,,,
145,12289,a,,,,,,,,,,,,,,,,,,,
146,12290,a,,,,,,,,,,,,,,,,,,,
147,12291,a,,,,,,,,,,,,,,,,,,,
148,12292,a,,,,,,,,,,,,,,,,,,,
149,12293,b,,,,,,,,,,,,,,,,,,,
150,12294,b,,,,,,,,,,,,,,,,,,,
151,12308,b,,,,,,,,,,,,,,,,,,,
152,12309,b,,,,,,,,,,,,,,,,,,,
153,12416,b,,,,,,,,,,,,,,,,,,,
154,12417,a,,,,,,,,,,,,,,,,,,,
155,12418,d,,,,,,,,,,,,,,,,,,,
156,12629,b,,,,,,,,,,,,,,,,,,,
157,12630,b,,,,,,,,,,,,,,,,,,,
158,13095,b,,,,,,,,,,,,,,,,,,,
159,13096,a,35.0,5.0,-10.0,64.0,95.0,0.1684,0.8316,108.1158,0.0737,4656.7053,0.7053,10.15281263,40.0,17.06589474,5.37336842,0.7263,83.05295139,2.0,25.0
160,13096,a,35.0,6.0,10.0,54.0,84.0,0.1548,0.8452,100.4762,0.0119,4523.8452,0.6667,9.10853095,29.0,18.73892857,4.96,0.7143,85.64300412,4.0,13.0
161,13096,a,35.0,8.0,1.0,53.0,74.0,0.0541,0.9459,106.3108,0.027000000000000003,3612.473,0.8784,9.48896757,23.0,22.55310811,4.99783784,0.8514,73.03039832,5.0,12.0
162,13096,a,35.0,9.0,26.0,54.0,80.0,0.075,0.925,105.225,0.025,3866.3375,0.875,9.41229125,24.0,20.007375,5.08325,0.8625,76.81944444,2.0,12.0
163,13096,a,35.0,10.0,21.0,80.0,71.0,0.0282,0.9718,111.493,0.0704,4339.7887,0.8873,9.10821408,40.0,20.88901408,5.19690141,0.8732,47.09618056,1.0,9.0
164,13096,a,35.0,11.0,-25.0,101.0,71.0,0.0282,0.9718,108.2394,0.0141,3775.1127,0.9155,8.46478592,34.0,21.5184507,4.93915493,0.8592,33.76705171,2.0,8.0
165,13098,a,,,,,,,,,,,,,,,,,,,
166,13205,a,,,,,,,,,,,,,,,,,,,
167,13529,a,,,,,,,,,,,,,,,,,,,
168,13532,b,,,,,,,,,,,,,,,,,,,
169,13534,a,,,,,,,,,,,,,,,,,,,
170,13535,a,,,,,,,,,,,,,,,,,,,
171,13946,a,0.0,,,,,,,,,,,,,,,,,,
172,14031,a,43.0,,,,,,,,,,,,,,,,,,
173,14032,a,,,,,,,,,,,,,,,,,,,
174,14033,b,,,,,,,,,,,,,,,,,,,
175,14037,b,,,,,,,,,,,,,,,,,,,
176,14060,a,,,,,,,,,,,,,,,,,,,
177,14257,d,,,,,,,,,,,,,,,,,,,
178,14261,a,44.0,0.0,4.0,79.0,59.0,0.0339,0.9661,123.5763,0.1695,3788.9831,0.8136,9.36186271,21.0,19.36152542,5.57813559,0.8475,41.78691983,2.0,4.0
179,14261,a,44.0,1.0,-16.0,83.0,72.0,0.0139,0.9861,112.6528,0.1111,3706.1944,0.9167,9.35324028,29.0,20.06152778,5.39819444,0.9167,44.11546185,3.0,5.0
180,14261,a,44.0,2.0,2.0,67.0,53.0,0.0377,0.9623,100.0,0.1509,4125.6415,0.8868,11.75126038,27.0,20.42113208,4.90924528,0.9245,45.10862355,3.0,10.0
181,14261,a,44.0,3.0,3.0,69.0,76.0,0.0132,0.9868,115.9079,0.1447,4456.1447,0.9342,10.39517763,34.0,19.92026316,5.79289474,0.9605,59.38727858,3.0,2.0
182,14261,a,44.0,4.0,7.0,72.0,88.0,0.0227,0.9773,117.375,0.2273,3858.7955,0.9432,9.11061023,32.0,23.05852273,5.45738636,0.9091,62.53279321,4.0,6.0
183,14261,a,44.0,5.0,-1.0,79.0,77.0,0.026000000000000002,0.9740000000000001,112.4286,0.039,3520.1299,0.8571,10.40433247,39.0,21.7212987,5.36428571,0.8442,50.33579466,3.0,13.0
184,14261,a,44.0,6.0,-1.0,78.0,71.0,0.0,1.0,126.5634,0.0282,4325.9437,0.8732,9.78638873,49.0,24.63661972,5.74507042,0.8873,46.51282051,1.0,6.0
185,14261,a,44.0,7.0,-27.0,77.0,71.0,0.0,1.0,116.5352,0.1127,3184.1690000000003,0.9155,9.8502338,48.0,20.15422535,5.22605634,0.9155,44.71320346,1.0,8.0
186,14263,a,,,,,,,,,,,,,,,,,,,
187,14265,b,,,,,,,,,,,,,,,,,,,
188,14272,a,,,,,,,,,,,,,,,,,,,
189,14273,d,,,,,,,,,,,,,,,,,,,
190,14283,a,,,,,,,,,,,,,,,,,,,
191,14418,b,,,,,,,,,,,,,,,,,,,
192,14419,a,,,,,,,,,,,,,,,,,,,
193,14420,a,,,,,,,,,,,,,,,,,,,
194,14510,b,,,,,,,,,,,,,,,,,,,
195,17165,c,,,,,,,,,,,,,,,,,,,
196,17185,a,1.0,,,,,,,,,,,,,,,,,,
197,18109,c,,,,,,,,,,,,,,,,,,,
198,18836,b,,,,,,,,,,,,,,,,,,,
199,18869,a,,2.0,-19.0,114.0,60.0,0.2167,0.7833,100.0,0.05,5386.15,0.55,8.693060000000001,16.0,18.56983333,5.2955,0.6333,34.4461501,2.0,11.0
200,18869,a,,5.0,-16.0,121.0,63.0,0.1905,0.8095,100.0,0.0476,4458.5873,0.7143,9.51005238,36.0,22.28365079,5.08634921,0.6984,32.52708907,2.0,17.0
201,18871,a,,,,,,,,,,,,,,,,,,,
202,18920,a,26.0,0.0,44.0,99.0,35.0,0.0286,0.9714,140.7714,0.1429,6740.3143,0.7429,9.34857429,13.0,21.52114286,9.34485714,0.8,17.60353535,1.0,15.0
203,18920,a,26.0,1.0,-30.0,143.0,49.0,0.0408,0.9592,125.2449,0.1837,6635.8367,0.6327,7.04489184,14.0,22.22265306,7.95489796,0.7755,15.32711733,2.0,26.0
204,18920,a,26.0,2.0,7.0,113.0,39.0,0.1282,0.8718,100.5128,0.0256,6812.1538,0.5128,5.78589744,6.0,16.12512821,6.427435900000001,0.5897,15.16863324,1.0,21.0
205,18920,a,26.0,3.0,18.0,120.0,72.0,0.0972,0.9028,102.0833,0.0833,7725.2778,0.5278,8.2861125,23.0,17.55027778,6.8675,0.6528,29.89305556,1.0,58.0
206,18920,a,26.0,4.0,-138.0,138.0,39.0,0.0256,0.9744,100.0,0.1282,7065.9487,0.5641,7.00427436,10.0,18.79974359,6.51333333,0.6409999999999999,13.04468599,1.0,17.0
207,18978,b,,,,,,,,,,,,,,,,,,,
208,18979,a,27.0,,,,,,,,,,,,,,,,,,
209,19307,a,,,,,,,,,,,,,,,,,,,
210,19310,a,,,,,,,,,,,,,,,,,,,
211,19450,d,,3.0,52.0,89.0,28.0,0.3214,0.6786,138.3571,0.1786,8228.5714,0.6786,12.57618571,13.0,18.88464286,10.91714286,0.6786,38.85049938,1.0,3.0
212,19450,d,,8.0,31.0,77.0,13.0,0.4615,0.5385,186.1538,0.0,5284.0769,0.6154,15.43076154,9.0,12.36769231,12.54692308,0.4615,23.59451659,1.0,6.0
213,19450,d,,9.0,1.0,108.0,28.0,0.0357,0.9643,117.7857,0.1071,4891.6429,0.9286,10.63333571,16.0,22.11142857,6.71071429,0.8929,20.10365226,1.0,7.0
214,19450,d,,10.0,-9.0,109.0,28.0,0.0714,0.9286,156.9286,0.1071,4675.8214,0.7857,16.01666786,27.0,32.965,9.01642857,0.75,27.78363914,1.0,9.0
215,20523,a,,,,,,,,,,,,,,,,,,,
216,21284,b,,,,,,,,,,,,,,,,,,,
217,21286,b,,,,,,,,,,,,,,,,,,,
218,21287,b,,,,,,,,,,,,,,,,,,,
219,21291,b,,,,,,,,,,,,,,,,,,,
220,21519,a,,,,,,,,,,,,,,,,,,,
221,21520,a,,,,,,,,,,,,,,,,,,,
222,21521,b,,,,,,,,,,,,,,,,,,,
223,21522,a,,,,,,,,,,,,,,,,,,,
224,21524,b,,,,,,,,,,,,,,,,,,,
225,21573,a,,,,,,,,,,,,,,,,,,,
226,21574,a,,,,,,,,,,,,,,,,,,,
227,23187,b,,,,,,,,,,,,,,,,,,,
228,23188,a,,,,,,,,,,,,,,,,,,,
229,23207,a,,,,,,,,,,,,,,,,,,,
230,23253,b,1.0,,,,,,,,,,,,,,,,,,
231,23474,c,,,,,,,,,,,,,,,,,,,
232,23475,a,,,,,,,,,,,,,,,,,,,
233,23476,a,,,,,,,,,,,,,,,,,,,
234,23477,a,26.0,,,,,,,,,,,,,,,,,,
235,24695,a,,,,,,,,,,,,,,,,,,,
236,24851,b,,,,,,,,,,,,,,,,,,,
237,24852,b,,,,,,,,,,,,,,,,,,,
238,24875,b,0.0,,,,,,,,,,,,,,,,,,
239,24876,a,,,,,,,,,,,,,,,,,,,
240,24877,a,,,,,,,,,,,,,,,,,,,
241,24878,b,,,,,,,,,,,,,,,,,,,
242,24880,b,,,,,,,,,,,,,,,,,,,
243,24882,a,,,,,,,,,,,,,,,,,,,
244,24985,b,,,,,,,,,,,,,,,,,,,
245,24986,b,,,,,,,,,,,,,,,,,,,
246,24987,b,,,,,,,,,,,,,,,,,,,
247,24988,b,,,,,,,,,,,,,,,,,,,
248,25015,d,,,,,,,,,,,,,,,,,,,
249,25016,b,,,,,,,,,,,,,,,,,,,
250,25017,d,,,,,,,,,,,,,,,,,,,
251,25305,a,,,,,,,,,,,,,,,,,,,
252,25512,b,,,,,,,,,,,,,,,,,,,
253,25513,a,,,,,,,,,,,,,,,,,,,
254,25650,a,,,,,,,,,,,,,,,,,,,
255,25651,b,,,,,,,,,,,,,,,,,,,
256,25652,b,,,,,,,,,,,,,,,,,,,
257,25825,a,,,,,,,,,,,,,,,,,,,
258,25838,b,,,,,,,,,,,,,,,,,,,
259,25839,a,,,,,,,,,,,,,,,,,,,
260,25840,a,,,,,,,,,,,,,,,,,,,
261,26169,a,,,,,,,,,,,,,,,,,,,
262,26177,a,,,,,,,,,,,,,,,,,,,
263,26178,d,,,,,,,,,,,,,,,,,,,
264,26185,d,,,,,,,,,,,,,,,,,,,
265,26197,b,,,,,,,,,,,,,,,,,,,
266,27919,b,21.0,,,,,,,,,,,,,,,,,,
267,27920,a,39.0,,,,,,,,,,,,,,,,,,
268,28200,c,,,,,,,,,,,,,,,,,,,
269,28939,a,,,,,,,,,,,,,,,,,,,
270,29272,a,,,,,,,,,,,,,,,,,,,
271,29276,a,1.0,,,,,,,,,,,,,,,,,,
272,29277,d,,,,,,,,,,,,,,,,,,,
273,29334,b,,,,,,,,,,,,,,,,,,,
274,29613,a,40.0,,,,,,,,,,,,,,,,,,
275,29686,a,,,,,,,,,,,,,,,,,,,
276,30595,a,,,,,,,,,,,,,,,,,,,
277,32622,b,,,,,,,,,,,,,,,,,,,
278,32623,b,,,,,,,,,,,,,,,,,,,
279,32624,b,,,,,,,,,,,,,,,,,,,
280,32626,b,,,,,,,,,,,,,,,,,,,
281,32627,b,,,,,,,,,,,,,,,,,,,
282,33136,d,,,,,,,,,,,,,,,,,,,
283,33139,a,1.0,,,,,,,,,,,,,,,,,,
284,33468,b,,,,,,,,,,,,,,,,,,,
285,33546,a,,,,,,,,,,,,,,,,,,,
286,33549,b,,,,,,,,,,,,,,,,,,,
287,33550,b,,,,,,,,,,,,,,,,,,,
288,33552,b,,,,,,,,,,,,,,,,,,,
289,33553,b,,,,,,,,,,,,,,,,,,,
290,33554,b,,,,,,,,,,,,,,,,,,,
291,33556,a,,,,,,,,,,,,,,,,,,,
292,33560,b,,,,,,,,,,,,,,,,,,,
293,33568,a,,,,,,,,,,,,,,,,,,,
294,33571,b,1.0,,,,,,,,,,,,,,,,,,
295,33576,b,,,,,,,,,,,,,,,,,,,
296,34646,d,,,,,,,,,,,,,,,,,,,
297,35252,b,1.0,,,,,,,,,,,,,,,,,,
298,35533,a,,,,,,,,,,,,,,,,,,,
299,35534,a,,,,,,,,,,,,,,,,,,,
300,35535,a,,,,,,,,,,,,,,,,,,,
301,35538,a,,,,,,,,,,,,,,,,,,,
302,35952,a,,,,,,,,,,,,,,,,,,,
303,35953,b,,,,,,,,,,,,,,,,,,,
304,35954,b,,,,,,,,,,,,,,,,,,,
305,36013,b,,,,,,,,,,,,,,,,,,,
306,36014,a,,,,,,,,,,,,,,,,,,,
307,36016,a,,,,,,,,,,,,,,,,,,,
308,36021,b,1.0,,,,,,,,,,,,,,,,,,
309,36022,d,1.0,,,,,,,,,,,,,,,,,,
310,39419,a,,,,,,,,,,,,,,,,,,,
311,39425,a,,,,,,,,,,,,,,,,,,,
312,39517,a,35.0,1.0,-6.0,55.0,86.0,0.0465,0.9535,101.1512,0.1279,4065.6279,0.8488,9.67015349,32.0,19.24732558,4.9355814,0.8488,85.11616162,3.0,11.0
313,39517,a,35.0,2.0,11.0,49.0,80.0,0.0875,0.9125,106.0125,0.15,4621.6375,0.7875,8.0775,21.0,21.576875,5.330375,0.85,87.39399093,2.0,7.0
314,39517,a,35.0,5.0,24.0,49.0,66.0,0.0758,0.9242,100.9091,0.0606,3997.3939,0.8788,8.22803182,20.0,19.36469697,4.76606061,0.8939,60.40873016,5.0,9.0
315,39517,a,35.0,6.0,6.0,73.0,98.0,0.0,1.0,108.0204,0.0918,3364.8265,0.9388,9.64897857,46.0,17.607755100000002,4.77897959,0.9286,55.92922374,2.0,18.0
316,39517,a,35.0,7.0,3.0,79.0,101.0,0.0792,0.9208,115.4653,0.0891,3503.3465,0.8119,8.79620396,46.0,21.34564356,5.11554455,0.8713,57.28691983,3.0,14.0
317,39517,a,35.0,8.0,-1.0,82.0,95.0,0.0421,0.9579,107.5474,0.0737,3097.8842,0.9053,10.62701368,44.0,19.33526316,4.61947368,0.9053,54.07723577,1.0,13.0
318,39517,a,35.0,9.0,9.0,81.0,109.0,0.0367,0.9633,100.844,0.0642,4327.7064,0.8991,8.48058165,38.0,18.73376147,4.79550459,0.8899,63.41495199,4.0,15.0
319,39517,a,35.0,10.0,-70.0,90.0,115.0,0.0174,0.9826,113.31299999999999,0.0783,2906.5304,0.9565,9.36695739,58.0,20.61243478,4.49008696,0.9652,52.98024691,8.0,16.0
320,39517,a,35.0,11.0,34.0,20.0,9.0,0.0,1.0,100.0,0.0,2796.8889,1.0,10.16113333,6.0,17.35555556,3.37111111,0.8889,15.61805556,1.0,5.0
321,39519,a,48.0,1.0,-6.0,49.0,41.0,0.122,0.878,100.0,0.0976,2719.8779999999997,0.8049,11.06381463,17.0,16.09878049,4.28780488,0.8293,48.33333333,2.0,9.0
322,39519,a,48.0,2.0,48.0,43.0,32.0,0.0625,0.9375,100.0,0.0313,2496.375,0.7188,11.77759688,16.0,28.7121875,4.2153125,0.7188,44.52713178,1.0,6.0
323,39519,a,48.0,3.0,-5.0,91.0,61.0,0.1311,0.8689,100.0,0.0656,2780.4590000000003,0.7377,10.4672082,19.0,15.715245900000001,4.24754098,0.7541,35.95543346,2.0,9.0
324,39519,a,48.0,5.0,-2.0,82.0,38.0,0.1579,0.8421,100.0,0.0263,4221.3947,0.7368,8.98507895,18.0,16.90605263,4.91026316,0.7368,30.24593496,1.0,5.0
325,39519,a,48.0,6.0,10.0,80.0,38.0,0.2368,0.7632,100.0,0.0263,4161.6842,0.6053,9.50834474,16.0,23.09315789,4.90605263,0.6053,32.83784722,1.0,12.0
326,39519,a,48.0,8.0,-35.0,88.0,72.0,0.1667,0.8333,100.8333,0.1667,3686.5833,0.7083,10.67662083,39.0,15.05583333,4.66263889,0.7639,50.44223485,1.0,15.0
327,39519,a,48.0,9.0,-43.0,53.0,68.0,0.0588,0.9412,101.4706,0.0294,3611.8235,0.8824,10.86788235,28.0,19.47882353,4.71220588,0.9118,76.08805031,4.0,29.0
328,39519,a,48.0,11.0,1.0,33.0,51.0,0.0,1.0,100.5882,0.0392,4123.9412,0.9412,9.00783725,16.0,18.29627451,4.77098039,0.9608,93.26767677,4.0,7.0
329,40687,a,32.0,,,,,,,,,,,,,,,,,,
330,40764,b,,,,,,,,,,,,,,,,,,,
331,40899,a,,,,,,,,,,,,,,,,,,,
332,41143,d,,0.0,29.0,60.0,48.0,0.125,0.875,137.0625,0.0625,10216.6667,0.625,7.89478958,10.0,18.02479167,10.4325,0.6667,51.67083333,1.0,14.0
333,41143,d,,2.0,37.0,94.0,48.0,0.0625,0.9375,119.1042,0.125,6402.625,0.7917,8.59756667,18.0,24.20645833,7.07166667,0.8333,27.10283688,3.0,11.0
334,41143,d,,3.0,-48.0,131.0,50.0,0.02,0.98,105.6,0.12,6660.54,0.54,8.61233,17.0,17.727,6.6468,0.64,22.03837998,1.0,18.0
335,41143,d,,4.0,44.0,83.0,28.0,0.0357,0.9643,113.9643,0.2143,4390.3571,0.9286,6.42381786,8.0,19.62857143,5.76928571,0.9286,15.74732262,2.0,10.0
336,41143,d,,6.0,21.0,101.0,35.0,0.0571,0.9429,100.0,0.0,5271.8286,0.5714,8.50952,29.0,20.24742857,5.6,0.6857,18.5910341,3.0,31.0
337,41143,d,,7.0,-15.0,122.0,58.0,0.1207,0.8793,103.4483,0.0172,3878.8621,0.7069,8.77988966,31.0,22.14689655,5.00155172,0.7759,23.09266849,1.0,12.0
338,41143,d,,9.0,13.0,100.0,48.0,0.0417,0.9583,154.0625,0.0,3586.3542,0.875,9.140625,35.0,18.87979167,7.23541667,0.875,23.90694444,2.0,13.0
339,41143,d,,10.0,-54.0,113.0,51.0,0.0784,0.9216,100.3922,0.0,4575.4706,0.8039,7.6571902000000005,21.0,18.42921569,5.18039216,0.8039,23.46238938,4.0,8.0
340,41159,a,35.0,,,,,,,,,,,,,,,,,,
341,41202,a,1.0,,,,,,,,,,,,,,,,,,
342,41236,d,,4.0,6.0,84.0,32.0,0.0313,0.9688,100.0,0.0313,5898.6563,0.7188,12.78541563,19.0,24.440625,6.141875,0.8438,23.38425926,2.0,3.0
